Change Component Comment : Designator=C111 Old Comment=Cap New Comment=470uF
Change Component Comment : Designator=C7 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C8 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C13 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C47 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C48 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C49 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C52 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C53 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C92 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C123 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C129 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C131 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C145 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C152 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C153 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C159 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C160 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C161 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C165 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C166 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C173 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C176 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C179 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C183 Old Comment=Cap Pol3 New Comment=10uF
Change Component Comment : Designator=C97 Old Comment=Cap Pol3 New Comment=22uF
Change Component Comment : Designator=C101 Old Comment=Cap Pol3 New Comment=22uF
