Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P10        2x6_header,_right_angle       4365mil       2605mil       4365mil       2605mil       4615mil       2655mil  T        180.00 2 x 6 header   
P9         2x4_header            2794mil        788mil       2794mil        788mil       2644mil        738mil  T        360.00 2 x 4 header   
P8         2x8_header            1960mil        130mil       1960mil        130mil       1610mil         80mil  T        360.00 2 x 8 header   
P21        1x2_header            4060mil        210mil       4060mil        210mil       4010mil        210mil  T        360.00 1 x 2 header   
P20        1x2_header            3890mil       2220mil       3890mil       2220mil       3890mil       2170mil  T         90.00 1 x 2 header   
P19        1x2_header            4980mil       2170mil       4980mil       2170mil       4980mil       2120mil  T         90.00 1 x 2 header   
P18        1x2_header              70mil       1210mil         70mil       1210mil         70mil       1160mil  T         90.00 1 x 2 header   
P17        1x2_header            2380mil        350mil       2380mil        350mil       2380mil        400mil  T        270.00 1 x 2 header   
P16        1x3_header            1560mil        615mil       1560mil        615mil       1560mil        515mil  T         90.00 1 x 3 header   
P15        1x2_header            1610mil        860mil       1610mil        860mil       1660mil        860mil  T        180.00 1 x 2 header   
P14        1x2_header              80mil        700mil         80mil        700mil         80mil        750mil  T        270.00 1 x 2 header   
P13        1x3_header            5635mil       1850mil       5635mil       1850mil       5635mil       1750mil  T         90.00 1 x 3 header   
P12        1x3_header            5510mil       1850mil       5510mil       1850mil       5510mil       1750mil  T         90.00 1 x 3 header   
P11        1x2_header            5150mil       2125mil       5150mil       2125mil       5100mil       2125mil  T        360.00 1 x 2 header   
P7         1x2_header            1225mil       2475mil       1225mil       2475mil       1225mil       2425mil  T         90.00 1 x 2 header   
P6         1x2_header            4130mil       1195mil       4130mil       1195mil       4080mil       1195mil  T        360.00 1 x 2 header   
P5         1x2_header            4145mil       2175mil       4145mil       2175mil       4095mil       2175mil  T        360.00 1 x 2 header   
P4         1x2_header            1610mil       1085mil       1610mil       1085mil       1560mil       1085mil  T        360.00 1 x 2 header   
P3         1x2_header            2375mil       2350mil       2375mil       2350mil       2325mil       2350mil  T        360.00 1 x 2 header   
P2         1x2_header            2580mil       2655mil       2580mil       2655mil       2530mil       2655mil  T        360.00 1 x 2 header   
P1         1x2_header            2375mil       2470mil       2375mil       2470mil       2325mil       2470mil  T        360.00 1 x 2 header   
J27        TestPoint              490mil       2307mil        490mil       2307mil        490mil       2307mil  T          0.00 5004           
C189       0402                  2410mil        670mil       2410mil        670mil       2410mil    650.315mil  T         90.00 0.1uF          
R9         0402                  4605mil       1510mil       4605mil       1510mil       4605mil   1490.315mil  B         90.00 10K            
R93        0402                  4600mil       1325mil       4600mil       1325mil   4580.315mil       1325mil  T        360.00 1.2K           
FB12       1608[0603]            4215mil        205mil       4215mil        205mil       4215mil    232.559mil  T        270.00 BLM18PG300SN1D 
FB9        1608[0603]            5225mil       2215mil       5225mil       2215mil   5197.441mil       2215mil  B        360.00 BLM18PG300SN1D 
FB11       1608[0603]             655mil       2330mil        655mil       2330mil    627.441mil       2330mil  T        360.00 BLM18PG300SN1D 
FB7        1608[0603]            2095mil       1780mil       2095mil       1780mil   2122.559mil       1780mil  B        180.00 BLM18PG300SN1D 
FB6        1608[0603]            2115mil       2000mil       2115mil       2000mil   2142.559mil       2000mil  B        180.00 BLM18PG300SN1D 
FB3        1608[0603]            3950mil        510mil       3950mil        510mil   3922.441mil        510mil  T        360.00 BLM18PG300SN1D 
FB2        1608[0603]            3950mil        365mil       3950mil        365mil   3922.441mil        365mil  T        360.00 BLM18PG300SN1D 
Y3         CX-2520SB             5385mil       1925mil       5385mil       1925mil   5410.591mil   1891.535mil  T         90.00 CX2520SB40000H0DZF08
J3         TestPoint             4860mil       2040mil       4860mil       2040mil       4860mil       2040mil  T        180.00 5004           
J4         TestPoint             4665mil       1725mil       4665mil       1725mil       4665mil       1725mil  T        180.00 5004           
C46        0402                  3450mil        910mil       3450mil        910mil       3450mil    890.315mil  B         90.00 0.1uF          
C45        0402                  3365mil        805mil       3365mil        805mil       3365mil    785.315mil  T         90.00 0.1uF          
C44        0402                  3020mil        920mil       3020mil        920mil       3020mil    900.315mil  B         90.00 0.1uF          
C43        0402                  3575mil        875mil       3575mil        875mil       3575mil    855.315mil  T         90.00 0.1uF          
C42        0402                  3285mil        935mil       3285mil        935mil       3285mil    915.315mil  B         90.00 0.1uF          
C41        0402                  3090mil        880mil       3090mil        880mil       3090mil    860.315mil  T         90.00 0.1uF          
C40        0402                  3530mil        875mil       3530mil        875mil       3530mil    855.315mil  T         90.00 0.1uF          
C39        0402                  3130mil        870mil       3130mil        870mil       3130mil    850.315mil  T         90.00 0.1uF          
C106       0402                  2375mil       2060mil       2375mil       2060mil   2394.685mil       2060mil  T        180.00 0.1uF          
U15        SOT23-5               1040mil        655mil       1040mil        655mil    990.787mil    617.598mil  B        360.00 TPS73115DBVT   
R77        0402                  5055mil       1315mil       5055mil       1315mil   5035.315mil       1315mil  T        360.00 1.2K           
U3         TSSOP50P2000X120-56N       3210mil       2435mil       3210mil       2435mil   3595.827mil   2169.252mil  T        180.00 S29GL064N90TFI010
