# deltaF1 = -10K Hz, artificial threshold = 5% amplitude, length = 60
#	deltaF2			PER				iq_counter
   1.0000000e+01   3.8000000e-01   6.9942150e+03
   1.0621053e+03   3.0000000e-01   7.0509350e+03
   2.1142105e+03   3.5000000e-01   6.9782150e+03
   3.1663158e+03   2.7000000e-01   6.8732150e+03
   4.2184211e+03   2.2000000e-01   6.9819300e+03
   5.2705263e+03   2.4000000e-01   6.9934300e+03
   6.3226316e+03   7.0000000e-02   6.9695050e+03
   7.3747368e+03   2.2000000e-01   6.9714600e+03
   8.4268421e+03   1.0000000e-01   6.9930650e+03
   9.4789474e+03   7.0000000e-02   7.0141400e+03
   1.0531053e+04   8.0000000e-02   6.9741150e+03
   1.1583158e+04   5.0000000e-02   6.9902100e+03
   1.2635263e+04   8.0000000e-02   7.0092050e+03
   1.3687368e+04   5.0000000e-02   6.9902350e+03
   1.4739474e+04   2.0000000e-02   6.9897200e+03
   1.5791579e+04   2.0000000e-02   6.9808700e+03
   1.6843684e+04   4.0000000e-02   7.0192900e+03
   1.7895789e+04   3.0000000e-02   6.9963250e+03
   1.8947895e+04   2.0000000e-02   7.0067600e+03
   2.0000000e+04   1.0000000e-02   7.0066350e+03
