# deltaF1 = -10K Hz, artificial threshold = 5% amplitude, length=127
#	deltaF2			PER				iq_counter
   1.0000000e+01   6.3000000e-01   1.3786000e+04
   1.0621053e+03   4.3000000e-01   1.3720490e+04
   2.1142105e+03   4.7000000e-01   1.3809415e+04
   3.1663158e+03   4.4000000e-01   1.3301920e+04
   4.2184211e+03   3.6000000e-01   1.3745045e+04
   5.2705263e+03   3.0000000e-01   1.3714630e+04
   6.3226316e+03   2.2000000e-01   1.3856785e+04
   7.3747368e+03   1.5000000e-01   1.3758770e+04
   8.4268421e+03   1.9000000e-01   1.3764920e+04
   9.4789474e+03   8.0000000e-02   1.3858075e+04
   1.0531053e+04   1.1000000e-01   1.3859455e+04
   1.1583158e+04   9.0000000e-02   1.3857235e+04
   1.2635263e+04   5.0000000e-02   1.3866170e+04
   1.3687368e+04   1.0000000e-01   1.3719455e+04
   1.4739474e+04   1.4000000e-01   1.3841700e+04
   1.5791579e+04   6.0000000e-02   1.3880555e+04
   1.6843684e+04   3.0000000e-02   1.3866830e+04
   1.7895789e+04   5.0000000e-02   1.3867740e+04
   1.8947895e+04   2.0000000e-02   1.3860225e+04
   2.0000000e+04   2.0000000e-02   1.3871155e+04
