#	snr = 15db, deltaF1 = 0, deltaF2 = 0, length = 60 bytes
#	time			In-phase		Quad-phase
   0.0000000e+00   1.8638451e+01  -6.0000000e+00
   6.2500000e-08   3.1061704e+01  -1.3785433e+01
   1.2500000e-07  -2.3902838e+01  -7.0000000e+00
   1.8750000e-07   1.0000000e+00  -3.0000000e+00
   2.5000000e-07  -1.0000000e+01  -2.0209341e+01
   3.1250000e-07   2.4729798e+01  -1.0000000e+00
   3.7500000e-07   1.1000000e+01   2.6381386e+01
   4.3750000e-07   1.5478332e+01  -1.5504536e+01
   5.0000000e-07  -4.6409323e+01  -4.0000000e+00
   5.6250000e-07   2.0000000e+00  -1.0000000e+01
   6.2500000e-07  -1.8247242e+01  -1.0000000e+01
   6.8750000e-07  -3.5714434e+01  -0.0000000e+00
   7.5000000e-07   7.0000000e+00   1.3664157e+01
   8.1250000e-07   0.0000000e+00   3.0000000e+00
   8.7500000e-07  -5.0000000e+00   1.8897341e+01
   9.3750000e-07  -2.9265152e+01   1.8126598e+01
   1.0000000e-06   2.6053722e+01   1.2000000e+01
   1.0625000e-06   1.2000000e+01   3.6000133e+01
   1.1250000e-06  -9.0000000e+00  -1.0000000e+01
   1.1875000e-06  -5.0000000e+00   6.0000000e+00
   1.2500000e-06   1.1000000e+01   1.2000000e+01
   1.3125000e-06  -3.8911958e+01  -1.0000000e+00
   1.3750000e-06  -6.0000000e+00  -1.1000000e+01
   1.4375000e-06  -2.0312427e+01  -2.1703957e+01
   1.5000000e-06  -2.4577693e+01  -3.3392142e+01
   1.5625000e-06  -2.5021201e+01   1.4273397e+01
   1.6250000e-06   1.0000000e+00   2.0000000e+00
   1.6875000e-06  -4.5377141e+01  -1.0000000e+00
   1.7500000e-06   2.1023991e+01  -5.0000000e+00
   1.8125000e-06   1.4139732e+01   2.7030960e+01
   1.8750000e-06  -9.0000000e+00  -1.0000000e+00
   1.9375000e-06   9.0000000e+00   5.0000000e+00
   2.0000000e-06  -1.8449235e+01   3.0000000e+00
   2.0625000e-06   2.2621286e+01   6.0000000e+00
   2.1250000e-06   2.0000000e+00  -1.9253912e+01
   2.1875000e-06  -1.6273545e+01  -2.0000000e+00
   2.2500000e-06   3.5063232e+01   4.1526757e+01
   2.3125000e-06   1.0000000e+00   5.0000000e+00
   2.3750000e-06  -8.0000000e+00   5.0000000e+00
   2.4375000e-06   8.0000000e+00   2.9641764e+01
   2.5000000e-06  -1.9317485e+01  -1.3000000e+01
   2.5625000e-06  -2.6461992e+01  -1.0000000e+00
   2.6250000e-06   5.6679182e+01   1.3000000e+01
   2.6875000e-06   3.8889319e+01  -1.0000000e+00
   2.7500000e-06   4.0000000e+00   8.0000000e+00
