# deltaF1 = 0 Hz, artificial threshold = 5% amplitude, length=127, 
# deltaF2 = 10~200
#	deltaF2			PER				iq_counter
   1.0000000e+01   0.0000000e+00   4.7479350e+03
   1.0621053e+03   9.2000000e-01   1.4047640e+04
   2.1142105e+03   8.3000000e-01   1.3406625e+04
   3.1663158e+03   9.3000000e-01   1.3262995e+04
   4.2184211e+03   8.9000000e-01   1.3533765e+04
   5.2705263e+03   8.2000000e-01   1.3692195e+04
   6.3226316e+03   8.2000000e-01   1.3566595e+04
   7.3747368e+03   8.3000000e-01   1.2725105e+04
   8.4268421e+03   8.2000000e-01   1.3358320e+04
   9.4789474e+03   6.8000000e-01   1.3395145e+04
   1.0531053e+04   4.5000000e-01   1.3471790e+04
   1.1583158e+04   4.3000000e-01   1.3672825e+04
   1.2635263e+04   3.8000000e-01   1.3476650e+04
   1.3687368e+04   2.6000000e-01   1.3449905e+04
   1.4739474e+04   1.8000000e-01   1.3592005e+04
   1.5791579e+04   1.5000000e-01   1.3588125e+04
   1.6843684e+04   6.0000000e-02   1.3597545e+04
   1.7895789e+04   1.0000000e-01   1.3546415e+04
   1.8947895e+04   3.0000000e-02   1.3611600e+04
   2.0000000e+04   4.0000000e-02   1.3651045e+04
